gene,seqname,Single_copy.Broc_Anan_Tilla.,Low_copy.Broc_Anan_Tilla.,High_copy.Broc_Anan_Tilla.,Diff_expressed_CAMC3,pos_selection_CAM_shifts,gene_families_CAMC3,Angiosperm_gene,CAM-related_Acomosus_Ming2015,stomata_func,aquaporin_reg,draught_res,markers,anthocyanin_SI_Ananas,circadian_metabolism_Wai2017,malateTransferase_Assimilation_Carbohydrates,fllavonoid_anthocyanin_Pitcairnia_PS,pos_sel_portullugo,glucogenesis_glycolysis,circadian_clock,type,average_exon_size,nr_exons_per_gene,total_exonic_size,min_exon_size
Aco000269,LG12,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,426.8,5,2134,36
Aco000293,LG12,yes,no,no,NA,NA,NA,5922,,,,,,,,,NA,NA,,,NA,181.6363636,11,1998,67
Aco000311,LG12,yes,no,no,NA,NA,NA,5335,,,,,,,,,NA,NA,,,NA,121.5,16,1944,27
Aco000319,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,STA_L_flavonol synthase,NA,yes,,11_Glycolysis_night_C4_malate_pathway,429.5,2,859,329
Aco000335,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,522,4,2088,154
Aco000337,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,215.1,10,2151,68
Aco000339,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1592,1,1592,1592
Aco000352,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,yes,,NA,NA,,,00_#W_ProtonPump_VHA-E,185.7272727,11,2043,23
Aco000385,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,367.8,5,1839,149
Aco000389,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,168.2142857,14,2355,23
Aco000396,LG12,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,882,3,2646,163
Aco000403,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,364,4,1456,214
Aco000413,LG12,no,no,yes,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,11_Glycolysis_night_C4_malate_pathway,136.9285714,14,1917,39
Aco000425,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,403.5,4,1614,303
Aco000456,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,570.25,4,2281,248
Aco000482,LG12,NA,NA,NA,NA,NA,NA,NA,,,,yes,,,,,NA,NA,,,06_Drough_resistance_genes_LEA,269,1,269,269
Aco000487,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,843,2,1686,572
Aco000491,LG12,no,yes,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,713,2,1426,531
Aco000500,LG12,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,145.7692308,26,3790,27
Aco000507,LG12,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,217.6666667,6,1306,62
Aco000509,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,188.4285714,7,1319,36
Aco000523,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,346.5,4,1386,122
Aco000551,LG12,no,no,yes,NA,NA,NA,NA,,,,,,,,,ALB_F_leucoanthocyanidin dioxygenase,NA,,,NA,294.5,4,1178,78
Aco000552,LG12,yes,no,no,NA,NA,NA,5163,,,,,,,,,NA,NA,,,NA,132,14,1848,62
Aco000553,LG12,yes,no,no,NA,NA,NA,6924,,,,,,,,,NA,NA,,,NA,298.1428571,7,2087,162
Aco000572,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,301.1666667,6,1807,124
Aco000575,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,138.4166667,12,1661,34
Aco000577,LG12,NA,NA,NA,NA,NA,NA,NA,,,,,,,,yes,NA,NA,,,03_VATPase,129.2,5,646,99
Aco000579,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1328,1,1328,1328
Aco000597,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1322,1,1322,1322
Aco000598,LG12,yes,no,no,NA,NA,NA,6780,,,,,,,,,NA,NA,,,NA,146.8,5,734,86
Aco000599,LG12,yes,no,no,NA,NA,NA,NA,,,yes,,,,,,NA,NA,,,02_Aquaporins,355,3,1065,257
Aco000606,LG12,no,no,yes,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,329.5,6,1977,26
Aco000610,LG12,no,yes,no,NA,NA,NA,4893,,,,,,,,,NA,NA,,,NA,171.5555556,9,1544,80
Aco000618,LG12,yes,no,no,NA,NA,NA,5980,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,125.6153846,13,1633,63
Aco000632,LG12,yes,no,no,NA,NA,NA,5913,,,,,,,,,NA,NA,,,NA,369.5,4,1478,185
Aco000637,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,ALB_L_dihydroflavonol 4-reductase,NA,yes,,10_Glucogenesis_specific_dayC3,254,7,1778,42
Aco000648,LG12,no,yes,no,NA,yes,NA,NA,,,,,,,,,NA,NA,,,NA,2834,1,2834,2834
Aco000651,LG12,yes,no,no,NA,NA,NA,6051,,,,,,,,,NA,NA,,,NA,1541,1,1541,1541
Aco000653,LG12,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,177.5,8,1420,52
Aco000666,LG12,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,257.2857143,7,1801,118
Aco000674,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1631,1,1631,1631
Aco000678,LG12,yes,no,no,NA,NA,NA,7628,,,,,,,,,NA,NA,,,NA,112.8,5,564,22
Aco000695,LG12,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1023,2,2046,482
Aco000707,LG12,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,PREDICTED: Beta vulgaris subsp. vulgaris glucose-1-phosphate adenylyltransferase large subunit 3_ chloroplastic/amyloplastic (LOC104883901)_ transcript variant X1_ mRNA,yes,,10_Glucogenesis_specific_dayC3,172.9375,16,2767,40
Aco000717,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,ALB_L_bifunctional dihydroflavonol 4-reductase flavanone 4-reductase,NA,,,NA,179.4285714,7,1256,137
Aco000722,LG02,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,581,1,581,581
Aco000724,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,709,2,1418,526
Aco000727,LG02,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,443,1,443,443
Aco000731,LG02,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,11_Glycolysis_night_C4_malate_pathway,122.9677419,31,3812,8
Aco000735,LG02,no,yes,no,NA,NA,NA,6176,,,,,,,,,NA,NA,,,NA,160.3076923,13,2084,48
Aco000736,LG02,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,438.5,2,877,367
Aco000746,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1679,1,1679,1679
Aco000748,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,772.25,4,3089,153
Aco000753,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,482,3,1446,229
Aco000754,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1916,1,1916,1916
Aco000759,LG02,yes,no,no,NA,NA,NA,6175,,,,,,,,,NA,NA,,,NA,232.3636364,11,2556,94
Aco000767,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,736.3333333,3,2209,256
Aco000778,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,522,4,2088,331
Aco000793,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,734.6666667,3,2204,149
Aco000794,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,287.75,8,2302,146
Aco000795,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,yes,,NA,PREDICTED: Beta vulgaris subsp. vulgaris tonoplast dicarboxylate transporter (LOC104900882)_ mRNA,,,00_#W_MalateTransporter_tDT_11_Glycolysis_night_C4_malate_pathway,364.8333333,6,2189,43
Aco000798,LG02,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,356.625,8,2853,115
Aco000809,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,390,6,2340,122
Aco000814,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,445.7142857,7,3120,113
Aco000816,LG02,no,no,yes,NA,NA,NA,NA,,,,,,,,,NA,PREDICTED: Solanum tuberosum heat shock cognate protein 80-like (LOC102600008)_ mRNA,,,NA,506,5,2530,20
Aco000822,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1571,1,1571,1571
Aco000823,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,399.6,5,1998,117
Aco000834,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1179.75,4,4719,330
Aco000836,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,360.5,4,1442,148
Aco000843,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,556.5,2,1113,434
Aco000868,LG02,no,yes,no,NA,NA,NA,NA,,,,,,yes,,,NA,NA,,,00_#Ming2019_SI_gene,1151,1,1151,1151
Aco000907,LG02,no,yes,no,NA,NA,NA,NA,,,,,,,,,ALB_F_UDP-glycosyltransferase,NA,,,NA,564,3,1692,98
Aco000950,LG02,no,no,yes,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,630.6,5,3153,67
Aco000965,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,637.5,2,1275,576
Aco000985,LG02,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,386.5,2,773,213
Aco000993,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,262.7272727,11,2890,132
Aco000997,LG02,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,222.875,8,1783,53
Aco001001,LG02,yes,no,no,NA,yes,NA,NA,,,,,,,,,NA,NA,,,NA,822,3,2466,497
Aco001003,LG02,yes,no,no,NA,yes,NA,NA,,,,,,,,,NA,NA,yes,,11_Glycolysis_night_C4_malate_pathway,128.3571429,14,1797,44
Aco001020,LG02,no,no,yes,NA,NA,NA,NA,,,,,,,,,NA,PREDICTED: Glycine max histidine kinase 2-like (LOC100781655)_ transcript variant X3_ mRNA,,,NA,320.0909091,11,3521,51
Aco001042,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,426,3,1278,310
Aco001049,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,406.6666667,3,1220,278
Aco001055,LG02,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,285.8571429,7,2001,66
Aco001068,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,344.4,5,1722,133
Aco001089,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,yes,NA,NA,,,05_Chloroplasts_activity,367,3,1101,325
Aco001100,LG02,no,yes,no,NA,NA,NA,NA,,,,,,yes,,,NA,NA,,,00_#Ming2019_SI_gene,237.5,4,950,155
Aco001106,LG02,no,yes,no,NA,NA,NA,NA,,,yes,,,,,,NA,NA,,,02_Aquaporins,191,4,764,61
Aco001112,LG02,yes,no,no,NA,NA,NA,7572,,,,,,,,,NA,NA,,,NA,378,4,1512,159
Aco001128,LG02,yes,no,no,NA,NA,NA,4890,,,,,,,,,NA,NA,,,NA,134.625,8,1077,35
Aco001146,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1916,1,1916,1916
Aco001178,LG02,yes,no,no,NA,NA,NA,6363,,,,,,,,,NA,NA,,,NA,197.1818182,11,2169,59
Aco001181,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,yes,NA,NA,,,05_Chloroplasts_activity,606.5,2,1213,403
Aco001199,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1367,1,1367,1367
Aco001201,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1212,2,2424,915
Aco001216,LG02,no,yes,no,NA,NA,NA,NA,,,,,,yes,,,NA,NA,,,00_#Ming2019_SI_gene,474,5,2370,54
Aco001220,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,368.75,4,1475,124
Aco001222,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,554,2,1108,271
Aco001246,LG02,yes,no,no,NA,NA,NA,6389,,,,,,,,,NA,NA,,,NA,84.5625,16,1353,27
Aco001261,LG02,yes,no,no,NA,NA,NA,NA,yes,,,,,,,,NA,NA,,,00_#16_calciumdependent_protK,458.25,4,1833,106
Aco001317,LG02,yes,no,no,NA,NA,NA,6401,,,,,,,,,NA,NA,,,NA,617.5,2,1235,428
Aco001326,LG02,yes,no,no,NA,NA,NA,NA,,yes,,,,,yes,,NA,NA,,,00_#W_StomatalMovement_ABA_responsive_binding-element_F101b_Abscisic_acid_signal,454,5,2270,26
Aco001329,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,304.7777778,9,2743,113
Aco001339,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,519.6666667,3,1559,228
Aco001350,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,386.8,5,1934,146
Aco001352,LG02,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,271,5,1355,113
Aco001366,LG02,no,no,yes,NA,NA,NA,NA,,,,,,,,,NA,PREDICTED: Oryza sativa Japonica Group homeobox-leucine zipper protein ROC7 (LOC4344614)_ mRNA,,,NA,204.6363636,11,2251,89
Aco001384,LG05,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,560.5,2,1121,372
Aco001395,LG18,no,yes,no,NA,NA,NA,5942,,,,,,,,,NA,NA,,,NA,652,2,1304,313
Aco001399,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,281.4,5,1407,180
Aco001415,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,381.6666667,3,1145,342
Aco001416,LG18,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,259.3333333,3,778,132
Aco001430,LG18,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,216.1428571,7,1513,44
Aco001431,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1811,1,1811,1811
Aco001432,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1379,1,1379,1379
Aco001435,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,PREDICTED: Vitis vinifera aspartic proteinase PCS1 (LOC100251245)_ mRNA,,,NA,1103,1,1103,1103
Aco001437,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,280.6,5,1403,111
Aco001473,LG18,no,yes,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,491,1,491,491
Aco001478,LG18,yes,no,no,NA,NA,NA,5366,,,,,,,,,NA,NA,,,NA,108.5294118,17,1845,44
Aco001482,LG18,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,288.5,2,577,254
Aco001508,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,424.6666667,3,1274,245
Aco001521,LG18,yes,no,no,NA,yes,NA,NA,,,,,,,,,NA,NA,,,NA,104.5,12,1254,35
Aco001534,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,692,2,1384,680
Aco001542,LG18,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,105.4,15,1581,27
Aco001543,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,2345,1,2345,2345
Aco001545,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,388,3,1164,210
Aco001553,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,652,2,1304,516
Aco001560,LG18,no,no,yes,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,11_Glycolysis_night_C4_malate_pathway,421,3,1263,330
Aco001566,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,526,3,1578,434
Aco001571,LG18,no,yes,no,NA,NA,NA,NA,,,,yes,,,,,NA,NA,,,06_Drough_resistance_genes_LEA,132,3,396,114
Aco001579,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,474.8,5,2374,170
Aco001580,LG18,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,266.5555556,9,2399,4
Aco001608,LG18,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,374.6666667,3,1124,272
Aco001618,LG18,no,no,yes,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,372.3333333,6,2234,191
Aco001621,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,482.3333333,3,1447,170
Aco001637,LG18,no,yes,no,NA,NA,NA,NA,,yes,,,,,,,NA,NA,,,01d_Auxin_reponse_factor,247.6923077,13,3220,49
Aco001647,LG18,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,377,1,377,377
Aco001651,LG18,yes,no,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,190.2,10,1902,59
Aco001675,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,299.5,4,1198,164
Aco001686,LG18,no,no,yes,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,298.5714286,7,2090,105
Aco001691,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,383.25,4,1533,196
Aco001693,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,2918,1,2918,2918
Aco001703,LG18,yes,no,no,NA,NA,NA,6550,,,,,,,,,NA,NA,,,NA,223.75,4,895,93
Aco001707,LG18,NA,NA,NA,NA,NA,NA,NA,,yes,,,,,,,NA,NA,,,01b_Abscisic_acid_signal,290.3333333,3,871,71
Aco001718,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,612,2,1224,551
Aco001742,LG18,yes,no,no,NA,NA,NA,5357,,,,,,,,,NA,NA,,,NA,287,3,861,127
Aco001744,LG18,no,yes,no,NA,NA,yes,NA,,,,,,,,,NA,NA,,,NA,384.75,4,1539,134
Aco001767,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,221.6,5,1108,124
Aco001769,LG18,no,yes,no,NA,NA,NA,NA,,,,,yes,,,,NA,NA,,,00_#MB_PHYE/B,852.4,5,4262,277
Aco001770,LG18,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,146.5882353,17,2492,16
Aco001780,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,615,2,1230,518
Aco001783,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,656.5,2,1313,323
Aco001791,LG18,yes,no,no,NA,NA,NA,6450,,,,,,,,,NA,NA,,,NA,264.75,8,2118,104
Aco001803,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1112,1,1112,1112
Aco001826,LG18,yes,no,no,NA,NA,NA,6034,,,,,,,,,NA,NA,,,NA,96.25,16,1540,48
Aco001830,LG18,no,yes,no,NA,NA,NA,5858,,,,,,,,,NA,NA,,,NA,261.1666667,6,1567,70
Aco001848,LG18,yes,no,no,yes,NA,NA,NA,,,,yes,,,,,NA,NA,,,06_Drough_resistance_genes_LEA,518,2,1036,243
Aco001853,LG18,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,228.875,8,1831,32
Aco001855,LG18,yes,no,no,NA,NA,NA,5138,,,,,,,,,NA,NA,,,NA,200.7142857,7,1405,79
Aco001857,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,633,2,1266,367
Aco001858,LG18,no,yes,no,NA,NA,NA,NA,,,,,,,,,ALB_F_acyl-glucose-dependent anthocyanin 7-o-glucosyltransferase,NA,,,NA,115.75,12,1389,25
Aco001863,LG18,no,yes,no,NA,NA,NA,5945,,,,,,,,,NA,NA,,,NA,99.22222222,18,1786,35
Aco001881,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1763,1,1763,1763
Aco001894,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,2108,1,2108,2108
Aco001900,LG18,yes,no,no,yes,NA,NA,NA,,,,,,,yes,,NA,NA,,,00_#W_SucroseTransporter_SWEET11/12,170,7,1190,36
Aco001903,LG18,yes,no,no,NA,NA,NA,6717,,,,,,,,,NA,NA,,,NA,305,7,2135,90
Aco001926,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,278,5,1390,130
Aco001934,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1235,1,1235,1235
Aco001941,LG18,no,yes,no,NA,NA,NA,NA,,yes,,,,,,,NA,NA,,,01b_Abscisic_acid_signal,171.5,14,2401,46
Aco001945,LG18,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,288,3,864,43
Aco001954,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,140.6666667,24,3376,38
Aco001958,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,928,3,2784,341
Aco001967,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,361.4,5,1807,174
Aco001976,LG18,yes,no,no,NA,NA,NA,6483,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,148.8888889,9,1340,53
Aco001994,LG18,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1919,1,1919,1919
Aco002015,LG04,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,11_Glycolysis_night_C4_malate_pathway,368,3,1104,315
Aco002037,LG04,no,yes,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,320.4285714,7,2243,15
Aco002055,LG04,no,yes,no,NA,NA,NA,NA,,,,yes,,,,,NA,NA,,,06_Drough_resistance_genes_LEA,647,1,647,647
Aco002071,LG04,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,169.625,8,1357,51
Aco002118,LG04,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,643,2,1286,579
Aco002171,LG04,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,741.3333333,3,2224,175
Aco002187,LG04,yes,no,no,NA,yes,NA,NA,,,,,,,,,NA,NA,,,NA,291.3571429,14,4079,61
Aco002196,LG04,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,1722.5,2,3445,497
Aco002227,LG04,no,yes,no,NA,NA,NA,NA,,,,,,,,yes,NA,NA,,,04_Oxygen_evolving_enhancer_OEE,259.5,4,1038,50
Aco002247,LG04,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,,,NA,576.6666667,3,1730,225
Aco002248,LG04,no,yes,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,282.5714286,7,1978,87
Aco002253,LG04,no,yes,no,yes,NA,NA,NA,,,,,,,,,NA,NA,,,NA,428.375,8,3427,83
Aco002268,LG04,yes,no,no,NA,NA,NA,NA,,,,,,,,,NA,NA,yes,,10_Glucogenesis_specific_dayC3,830,1,830,830
Aco002270,LG04,yes,no,no,NA,NA,NA,5469,,,,,,,,,NA,NA,,,NA,248,5,1240,127
Aco002284,LG04,yes,no,no,NA,yes,NA,NA,,,,,,,,,NA,NA,,,NA,475.5,4,1902,253
